time,seconds_elapsed,z,y,x
1685918999571940600,0.091940673828125,7.504789352416992,3.0143582820892334,0.497408002614975
1685918999581701600,0.10170166015625,7.8903326988220215,3.316153049468994,1.4790635108947754
1685918999591463400,0.11146337890625,8.225327491760254,2.940180778503418,1.100698471069336
1685918999601225000,0.121224853515625,8.007580757141113,2.5857439041137695,1.0671988725662231
1685918999610986000,0.130986083984375,7.528717517852783,2.2555344104766846,1.2251251935958862
1685918999620747000,0.1407470703125,7.1958160400390625,2.0207388401031494,1.1509476900100708
1685918999630508800,0.1505087890625,7.150352478027344,1.8843477964401245,0.9643075466156006
1685918999640270300,0.160270263671875,6.939784049987793,1.7766708135604858,0.7606185078620911
1685918999650031400,0.17003125,6.599703788757324,1.7120646238327026,0.5548357367515564
1685918999659792400,0.17979248046875,6.157031536102295,1.690529227256775,0.4184448719024658
1685918999669554200,0.18955419921875,5.3955159187316895,1.5780665874481201,0.4088735580444336
1685918999679315700,0.199315673828125,4.1985063552856445,1.5780665874481201,0.45194438099861145
1685918999689076700,0.20907666015625,3.2527432441711426,1.7766708135604858,0.3849453330039978
1685918999698837800,0.218837646484375,3.1331021785736084,2.0829520225524902,0.34666016697883606
1685918999708599600,0.228599609375,3.6287155151367188,2.2722842693328857,0.23389841616153717
1685918999718361000,0.238361083984375,4.986044406890869,2.073380708694458,-0.08673982322216034
1685918999728122000,0.2481220703125,6.314958095550537,2.0039889812469482,0.2745763957500458
1685918999737883100,0.257883056640625,7.322934627532959,1.5490535497665405,0.9068797826766968
1685918999747645000,0.26764501953125,8.42423152923584,1.2379865646362305,1.2346965074539185
1685918999757406500,0.277406494140625,9.489336013793945,1.2643076181411743,0.8997012972831726
1685918999767167500,0.28716748046875,10.006484985351562,0.8955138921737671,0.6218347549438477
1685918999776928500,0.296928466796875,9.831809043884277,0.4046861231327057,0.5237290859222412
1685918999786690300,0.306690185546875,9.336195945739746,0.09122636169195175,0.392123818397522
1685918999796451800,0.316451904296875,8.857332229614258,0.2347957193851471,-0.5177469849586487
1685918999806212900,0.326212890625,8.356932640075684,0.2754737138748169,-1.5400804281234741
1685918999815974000,0.335973876953125,8.050651550292969,0.11276176571846008,-2.1361923217773438
1685918999825735700,0.345735595703125,8.048258781433105,-0.21774685382843018,-2.121835470199585
1685918999835497200,0.355497314453125,8.44576644897461,-0.2799602448940277,-2.1433708667755127
1685918999845258200,0.36525830078125,9.056235313415527,-0.29431718587875366,-2.162513494491577
1685918999855019300,0.375019287109375,9.482157707214355,-0.1986042857170105,-1.9854445457458496
1685918999864781000,0.384781005859375,10.133604049682617,-0.14835500717163086,-1.8559330701828003
1685918999874542800,0.39454296875,11.201102256774902,-0.17228323221206665,-1.8248263597488403
1685918999884303600,0.4043037109375,12.376874923706055,-0.3445664644241333,-1.7410775423049927
1685918999894064600,0.414064697265625,13.47338581085205,-0.5982056856155396,-1.7458631992340088
1685918999903826400,0.423826416015625,14.330315589904785,-0.9167501926422119,-1.6429718732833862
1685918999913588200,0.433588134765625,14.957534790039062,-1.1751750707626343,-1.7434704303741455
1685918999923349000,0.443348876953125,14.82114315032959,-1.0698908567428589,-1.8607187271118164
1685918999933110000,0.453110107421875,14.284852027893066,-0.6771687865257263,-1.8846468925476074
1685918999942871800,0.462871826171875,13.425230979919434,-0.20578274130821228,-1.6669000387191772
1685918999952633600,0.472633544921875,12.55872917175293,0.3640081584453583,-1.6860426664352417
1685918999962394400,0.482394287109375,12.060723304748535,0.7088736891746521,-1.8367904424667358
1685918999972155400,0.4921552734375,11.744571685791016,0.8548358678817749,-1.9181464910507202
1685918999981917200,0.501917236328125,11.672786712646484,0.7854440212249756,-1.8702900409698486
1685918999991679000,0.511678955078125,11.464611053466797,0.5796613097190857,-1.9013967514038086
1685919000001440000,0.52143994140625,11.122138977050781,0.45523449778556824,-2.083550214767456
1685919000011200800,0.53120068359375,11.15085220336914,0.4142574071884155,-2.1984057426452637
1685919000020962600,0.540962646484375,11.596217155456543,0.3975076675415039,-2.2055842876434326
1685919000030724400,0.550724365234375,11.972188949584961,0.35922250151634216,-1.8655043840408325
1685919000040485400,0.5604853515625,12.027223587036133,0.6083751320838928,-1.6142579317092896
1685919000050246100,0.57024609375,11.965010643005371,0.9912267923355103,-1.664507269859314
1685919000060008000,0.580008056640625,11.883654594421387,1.226022481918335,-1.5185450315475464
1685919000069769700,0.589769775390625,11.888440132141113,1.4246268272399902,-1.4395818710327148
1685919000079530800,0.59953076171875,11.574681282043457,1.5083755254745483,-1.3052847385406494
1685919000089291500,0.60929150390625,11.354541778564453,1.55623197555542,-1.3411771059036255
1685919000099053300,0.61905322265625,11.560324668884277,1.3863415718078613,-1.2646067142486572
1685919000108815000,0.628815185546875,11.718250274658203,1.1470593214035034,-1.2741780281066895
1685919000118576000,0.638576171875,11.488539695739746,1.0345966815948486,-1.3677972555160522
1685919000128337000,0.6483369140625,11.203495025634766,0.9098708033561707,-1.413260817527771
1685919000138098700,0.6580986328125,10.94028377532959,0.8835497498512268,-1.4970096349716187
1685919000147860500,0.667860595703125,10.64088249206543,0.9050851464271545,-1.3869398832321167
1685919000157621500,0.67762158203125,10.487741470336914,1.0369895696640015,-1.293320655822754
1685919000167382500,0.687382568359375,10.511670112609863,1.111167073249817,-1.2478569746017456
1685919000177144300,0.697144287109375,10.2747802734375,1.163809061050415,-1.211964726448059
1685919000186905900,0.70690576171875,9.980164527893066,1.285843014717102,-1.1114661693572998
1685919000196667000,0.7166669921875,9.731310844421387,1.3265210390090942,-1.0827522277832031
